;Date; Close ;Volume;Symbol
0;01/06/2020; 24.710.400.390.625 ;2928900;AMZN
1;02/06/2020; 2.472.409.912.109.370 ;2529900;AMZN
2;03/06/2020; 247.839.990.234.375 ;2671000;AMZN
3;04/06/2020; 246.060.009.765.625 ;2948700;AMZN
4;05/06/2020; 2483.0 ;3306400;AMZN
5;08/06/2020; 252.406.005.859.375 ;3970700;AMZN
6;09/06/2020; 2.600.860.107.421.870 ;5176000;AMZN
7;10/06/2020; 2.647.449.951.171.870 ;4946000;AMZN
8;11/06/2020; 25.579.599.609.375 ;5800100;AMZN
9;12/06/2020; 254.502.001.953.125 ;5429600;AMZN
10;15/06/2020; 2.572.679.931.640.620 ;3865100;AMZN
11;16/06/2020; 261.527.001.953.125 ;3585600;AMZN
12;17/06/2020; 264.097.998.046.875 ;2951100;AMZN
13;18/06/2020; 265.397.998.046.875 ;2487800;AMZN
14;19/06/2020; 2.675.010.009.765.620 ;5777000;AMZN
15;22/06/2020; 2.713.820.068.359.370 ;3208800;AMZN
16;23/06/2020; 2.764.409.912.109.370 ;4231700;AMZN
17;24/06/2020; 273.439.990.234.375 ;4526600;AMZN
18;25/06/2020; 2.754.580.078.125 ;2968700;AMZN
19;26/06/2020; 26.928.701.171.875 ;6500800;AMZN
20;29/06/2020; 26.803.798.828.125 ;4223400;AMZN
21;30/06/2020; 2.758.820.068.359.370 ;3769700;AMZN
