;Date; Close ;Volume;Symbol
0;01/06/2020; 1.828.300.018.310.540 ;22622400;MSFT
1;02/06/2020; 18.491.000.366.210.900 ;30794600;MSFT
2;03/06/2020; 18.536.000.061.035.100 ;27311000;MSFT
3;04/06/2020; 1.829.199.981.689.450 ;28761800;MSFT
4;05/06/2020; 1.871.999.969.482.420 ;39893600;MSFT
5;08/06/2020; 18.836.000.061.035.100 ;33211600;MSFT
6;09/06/2020; 1.898.000.030.517.570 ;29783900;MSFT
7;10/06/2020; 19.683.999.633.789.000 ;43872300;MSFT
8;11/06/2020; 18.627.000.427.246.000 ;52854700;MSFT
9;12/06/2020; 18.774.000.549.316.400 ;43345700;MSFT
10;15/06/2020; 18.894.000.244.140.600 ;32770200;MSFT
11;16/06/2020; 19.357.000.732.421.800 ;42556700;MSFT
12;17/06/2020; 19.424.000.549.316.400 ;25655900;MSFT
13;18/06/2020; 19.632.000.732.421.800 ;23061600;MSFT
14;19/06/2020; 19.514.999.389.648.400 ;44441100;MSFT
15;22/06/2020; 20.057.000.732.421.800 ;32818900;MSFT
16;23/06/2020; 20.191.000.366.210.900 ;30917400;MSFT
17;24/06/2020; 19.783.999.633.789.000 ;36740600;MSFT
18;25/06/2020; 20.033.999.633.789.000 ;27803900;MSFT
19;26/06/2020; 1.963.300.018.310.540 ;54675800;MSFT
20;29/06/2020; 19.844.000.244.140.600 ;26701600;MSFT
21;30/06/2020; 20.350.999.450.683.500 ;34310300;MSFT
